,Datetime,Location,Power,Time,Date
1794,2021-10-14T16:10:00,campus,52.5,16:10:00,2021-10-14
1804,2021-10-14T16:20:00,campus,52.9,16:20:00,2021-10-14
1814,2021-10-14T16:30:00,campus,53.1,16:30:00,2021-10-14
1824,2021-10-14T16:40:00,campus,53.3,16:40:00,2021-10-14
1834,2021-10-14T16:50:00,campus,53.0,16:50:00,2021-10-14
1844,2021-10-14T17:00:00,campus,52.8,17:00:00,2021-10-14
1854,2021-10-14T17:10:00,campus,52.6,17:10:00,2021-10-14
1864,2021-10-14T17:20:00,campus,52.8,17:20:00,2021-10-14
1874,2021-10-14T17:30:00,campus,53.1,17:30:00,2021-10-14
1884,2021-10-14T17:40:00,campus,53.4,17:40:00,2021-10-14
1894,2021-10-14T17:50:00,campus,53.6,17:50:00,2021-10-14
1904,2021-10-14T18:00:00,campus,53.8,18:00:00,2021-10-14
1914,2021-10-14T18:10:00,campus,53.4,18:10:00,2021-10-14
1924,2021-10-14T18:20:00,campus,53.0,18:20:00,2021-10-14
1934,2021-10-14T18:30:00,campus,52.7,18:30:00,2021-10-14
1944,2021-10-14T18:40:00,campus,52.8,18:40:00,2021-10-14
1954,2021-10-14T18:50:00,campus,52.8,18:50:00,2021-10-14
1964,2021-10-14T19:00:00,campus,52.5,19:00:00,2021-10-14
1974,2021-10-14T19:10:00,campus,52.0,19:10:00,2021-10-14
1984,2021-10-14T19:20:00,campus,50.7,19:20:00,2021-10-14
1994,2021-10-14T19:30:00,campus,49.1,19:30:00,2021-10-14
2004,2021-10-14T19:40:00,campus,48.1,19:40:00,2021-10-14
2014,2021-10-14T19:50:00,campus,47.9,19:50:00,2021-10-14
2024,2021-10-14T20:00:00,campus,48.0,20:00:00,2021-10-14
2034,2021-10-14T20:10:00,campus,47.7,20:10:00,2021-10-14
2044,2021-10-14T20:20:00,campus,47.6,20:20:00,2021-10-14
2054,2021-10-14T20:30:00,campus,47.2,20:30:00,2021-10-14
2064,2021-10-14T20:40:00,campus,47.7,20:40:00,2021-10-14
2074,2021-10-14T20:50:00,campus,47.8,20:50:00,2021-10-14
2084,2021-10-14T21:00:00,campus,47.8,21:00:00,2021-10-14
2094,2021-10-14T21:10:00,campus,46.9,21:10:00,2021-10-14
2104,2021-10-14T21:20:00,campus,45.8,21:20:00,2021-10-14
2114,2021-10-14T21:30:00,campus,45.1,21:30:00,2021-10-14
2124,2021-10-14T21:40:00,campus,44.6,21:40:00,2021-10-14
2134,2021-10-14T21:50:00,campus,44.5,21:50:00,2021-10-14
2144,2021-10-14T22:00:00,campus,44.0,22:00:00,2021-10-14
2154,2021-10-14T22:10:00,campus,42.7,22:10:00,2021-10-14
2164,2021-10-14T22:20:00,campus,41.4,22:20:00,2021-10-14
2174,2021-10-14T22:30:00,campus,40.6,22:30:00,2021-10-14
2184,2021-10-14T22:40:00,campus,40.8,22:40:00,2021-10-14
2194,2021-10-14T22:50:00,campus,40.7,22:50:00,2021-10-14
2204,2021-10-14T23:00:00,campus,40.4,23:00:00,2021-10-14
2214,2021-10-14T23:10:00,campus,40.0,23:10:00,2021-10-14
2224,2021-10-14T23:20:00,campus,39.4,23:20:00,2021-10-14
2234,2021-10-14T23:30:00,campus,39.2,23:30:00,2021-10-14
2244,2021-10-14T23:40:00,campus,39.0,23:40:00,2021-10-14
2254,2021-10-14T23:50:00,campus,39.0,23:50:00,2021-10-14
2264,2021-10-15T00:00:00,campus,38.7,00:00:00,2021-10-15
